2025-01-25 15:02:58 UTC | CORE | DEBUG | (pkg/util/log/log.go:791 in func1) | 'use_proxy_for_cloud_metadata' is enabled: adding cloud provider URL to the no_proxy list
2025-01-25 15:02:58 UTC | CORE | DEBUG | (comp/forwarder/eventplatform/eventplatformimpl/epforwarder.go:418 in newHTTPPassthroughPipeline) | Initialized event platform forwarder pipeline. eventType=container-images mainHosts=contimage-intake.datadoghq.com additionalHosts= batch_max_concurrent_send=10 batch_max_content_size=5000000 batch_max_size=1000, input_chan_size=100
2025-01-25 15:02:58 UTC | CORE | DEBUG | (comp/forwarder/eventplatform/eventplatformimpl/epforwarder.go:418 in newHTTPPassthroughPipeline) | Initialized event platform forwarder pipeline. eventType=container-sbom mainHosts=sbom-intake.datadoghq.com additionalHosts= batch_max_concurrent_send=10 batch_max_content_size=5000000 batch_max_size=1000, input_chan_size=100
2025-01-25 15:02:58 UTC | CORE | DEBUG | (pkg/util/hostname/providers.go:154 in GetWithProvider) | trying to get hostname from 'configuration' provider
2025-01-25 15:02:58 UTC | CORE | DEBUG | (pkg/util/hostname/providers.go:161 in GetWithProvider) | unable to get the hostname from 'configuration' provider: hostname is empty
2025-01-25 15:02:58 UTC | CORE | DEBUG | (pkg/util/hostname/providers.go:154 in GetWithProvider) | trying to get hostname from 'hostnameFile' provider
2025-01-25 15:02:58 UTC | CORE | DEBUG | (pkg/util/hostname/providers.go:161 in GetWithProvider) | unable to get the hostname from 'hostnameFile' provider: 'hostname_file' configuration is not enabled
2025-01-25 15:02:58 UTC | CORE | DEBUG | (pkg/util/hostname/providers.go:154 in GetWithProvider) | trying to get hostname from 'fargate' provider
2025-01-25 15:02:58 UTC | CORE | DEBUG | (pkg/util/hostname/providers.go:161 in GetWithProvider) | unable to get the hostname from 'fargate' provider: agent is not runnning on Fargate
2025-01-25 15:02:58 UTC | CORE | DEBUG | (pkg/util/hostname/providers.go:154 in GetWithProvider) | trying to get hostname from 'gce' provider
2025-01-25 15:02:58 UTC | CORE | DEBUG | (pkg/config/setup/config.go:2110 in IsCloudProviderEnabled) | cloud_provider_metadata is set to [aws gcp azure alibaba oracle ibm] in agent configuration, trying endpoints for GCP Cloud Provider
2025-01-25 15:02:58 UTC | CORE | DEBUG | (pkg/util/http/transport.go:144 in 1) | URL 'http://169.254.169.254/computeMetadata/v1/instance/hostname' matches no_proxy list item '169.254.169.254': not using any proxy
2025-01-25 15:02:59 UTC | CORE | DEBUG | (pkg/util/hostname/providers.go:161 in GetWithProvider) | unable to get the hostname from 'gce' provider: unable to retrieve hostname from GCE: GCE metadata API error: Get "http://169.254.169.254/computeMetadata/v1/instance/hostname": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2025-01-25 15:02:59 UTC | CORE | DEBUG | (pkg/util/hostname/providers.go:154 in GetWithProvider) | trying to get hostname from 'azure' provider
2025-01-25 15:02:59 UTC | CORE | DEBUG | (pkg/util/hostname/providers.go:161 in GetWithProvider) | unable to get the hostname from 'azure' provider: azure_hostname_style is set to 'os'
2025-01-25 15:02:59 UTC | CORE | DEBUG | (pkg/util/hostname/providers.go:154 in GetWithProvider) | trying to get hostname from 'fqdn' provider
2025-01-25 15:02:59 UTC | CORE | DEBUG | (pkg/util/hostname/providers.go:161 in GetWithProvider) | unable to get the hostname from 'fqdn' provider: FQDN hostname is not usable
2025-01-25 15:02:59 UTC | CORE | DEBUG | (pkg/util/hostname/providers.go:154 in GetWithProvider) | trying to get hostname from 'container' provider
2025-01-25 15:02:59 UTC | CORE | DEBUG | (pkg/util/hostname/container.go:34 in callContainerProvider) | GetHostname trying provider 'docker' ...
2025-01-25 15:02:59 UTC | CORE | DEBUG | (pkg/util/docker/docker_util.go:99 in ConnectToDocker) | Successfully connected to Docker server
2025-01-25 15:02:59 UTC | CORE | DEBUG | (pkg/util/hostname/providers.go:165 in GetWithProvider) | hostname provider 'container' successfully found hostname 'docker-desktop'
2025-01-25 15:02:59 UTC | CORE | DEBUG | (pkg/util/hostname/providers.go:154 in GetWithProvider) | trying to get hostname from 'os' provider
2025-01-25 15:02:59 UTC | CORE | DEBUG | (pkg/util/hostname/providers.go:161 in GetWithProvider) | unable to get the hostname from 'os' provider: OS hostname is not usable
2025-01-25 15:02:59 UTC | CORE | DEBUG | (pkg/util/hostname/providers.go:154 in GetWithProvider) | trying to get hostname from 'aws' provider
2025-01-25 15:02:59 UTC | CORE | DEBUG | (pkg/util/hostname/common.go:131 in fromEC2) | Detected a default EC2 hostname: false
2025-01-25 15:02:59 UTC | CORE | DEBUG | (pkg/util/hostname/common.go:132 in fromEC2) | ec2_prioritize_instance_id_as_hostname is set to false
2025-01-25 15:02:59 UTC | CORE | DEBUG | (pkg/util/hostname/providers.go:161 in GetWithProvider) | unable to get the hostname from 'aws' provider: not retrieving hostname from AWS: the host is not an ECS instance and other providers already retrieve non-default hostnames
2025-01-25 15:02:59 UTC | CORE | INFO | (pkg/aggregator/demultiplexer.go:224 in getDogStatsDWorkerAndPipelineCount) | Dogstatsd workers and pipelines count:  6  workers,  1  pipelines
2025-01-25 15:02:59 UTC | CORE | INFO | (pkg/aggregator/demultiplexer.go:142 in GetDogStatsDWorkerAndPipelineCount) | Dogstatsd configured to run with 6 workers and 1 pipelines
2025-01-25 15:02:59 UTC | CORE | DEBUG | (pkg/aggregator/demultiplexer_agent.go:164 in initAgentDemultiplexer) | the Demultiplexer will use 1 pipelines
2025-01-25 15:02:59 UTC | CORE | INFO | (pkg/aggregator/time_sampler.go:54 in NewTimeSampler) | Creating TimeSampler #0
2025-01-25 15:02:59 UTC | CORE | INFO | (comp/core/tagger/taggerimpl/tagger.go:146 in newTaggerClient) | TaggerClient is created, defaultTagger type:  *local.Tagger
2025-01-25 15:02:59 UTC | CORE | DEBUG | (pkg/aggregator/demultiplexer_agent.go:259 in run) | Starting forwarders
2025-01-25 15:02:59 UTC | CORE | DEBUG | (pkg/aggregator/demultiplexer_agent.go:267 in run) | not starting the container lifecycle forwarder
2025-01-25 15:02:59 UTC | CORE | DEBUG | (pkg/aggregator/demultiplexer_agent.go:270 in run) | Forwarders started
2025-01-25 15:02:59 UTC | CORE | DEBUG | (pkg/aggregator/demultiplexer_agent.go:291 in flushLoop) | flushInterval set to 0: will never flush automatically
2025-01-25 15:02:59 UTC | CORE | WARN | (pkg/config/model/viper.go:192 in checkKnownKey) | config key runtime_security_config.sbom.enabled is unknown
2025-01-25 15:02:59 UTC | CORE | INFO | (comp/core/workloadmeta/store.go:99 in start) | workloadmeta store initialized successfully
2025-01-25 15:02:59 UTC | CORE | INFO | (comp/core/autodiscovery/listeners/types.go:72 in Register) | Service listener factory cloudfoundry_bbs does not exist.
2025-01-25 15:02:59 UTC | CORE | INFO | (comp/core/autodiscovery/listeners/types.go:72 in Register) | Service listener factory kube_endpoints does not exist.
2025-01-25 15:02:59 UTC | CORE | INFO | (comp/core/autodiscovery/listeners/types.go:72 in Register) | Service listener factory kube_services does not exist.
2025-01-25 15:02:59 UTC | CORE | INFO | (comp/core/tagger/taggerimpl/collectors/workloadmeta_main.go:134 in stream) | workloadmeta tagger collector started
2025-01-25 15:02:59 UTC | CORE | INFO | (comp/core/workloadmeta/store.go:540 in startCandidates) | workloadmeta collector "ecs_fargate" could not start. error: component workloadmeta-ecs_fargate is disabled: Agent is not running on ECS Fargate
2025-01-25 15:02:59 UTC | CORE | INFO | (comp/core/workloadmeta/store.go:540 in startCandidates) | workloadmeta collector "process-collector" could not start. error: collector process-collector is not enabled
2025-01-25 15:02:59 UTC | CORE | INFO | (comp/core/workloadmeta/store.go:540 in startCandidates) | workloadmeta collector "kubelet" could not start. error: component workloadmeta-kubelet is disabled: Agent is not running on Kubernetes
2025-01-25 15:02:59 UTC | CORE | INFO | (comp/core/workloadmeta/store.go:540 in startCandidates) | workloadmeta collector "kube_metadata" could not start. error: component workloadmeta-kube_metadata is disabled: Agent is not running on Kubernetes
2025-01-25 15:02:59 UTC | CORE | INFO | (comp/core/workloadmeta/store.go:537 in startCandidates) | workloadmeta collector "host" started successfully
2025-01-25 15:02:59 UTC | CORE | INFO | (pkg/collector/python/init.go:338 in resolvePythonExecPath) | Using '/opt/datadog-agent/embedded' as Python home
2025-01-25 15:02:59 UTC | CORE | DEBUG | (pkg/collector/python/init.go:393 in Initialize) | Using '/opt/datadog-agent/embedded/bin/python3' as Python interpreter path
2025-01-25 15:02:59 UTC | CORE | INFO | (pkg/collector/python/init.go:407 in Initialize) | Initializing rtloader with Python 3 /opt/datadog-agent/embedded
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/workloadmeta/collectors/util/image_metadata_util.go:38 in ExtractRepoDigestFromImage) | cannot get matched registry in repodigests for image sha256:e875bed1e6a7ba9203430874ed343a1c718c6e430f3b4a14053271915d3101f4
2025-01-25 15:02:59 UTC | CORE | INFO | (comp/core/workloadmeta/store.go:537 in startCandidates) | workloadmeta collector "docker" started successfully
2025-01-25 15:02:59 UTC | CORE | INFO | (comp/core/workloadmeta/store.go:540 in startCandidates) | workloadmeta collector "containerd" could not start. error: component workloadmeta-containerd is disabled: Agent is not running on containerd
2025-01-25 15:02:59 UTC | CORE | INFO | (comp/core/workloadmeta/store.go:540 in startCandidates) | workloadmeta collector "cloudfoundry-container" could not start. error: component workloadmeta-cloudfoundry-container is disabled: Agent is not running on CloudFoundry
2025-01-25 15:02:59 UTC | CORE | INFO | (comp/core/workloadmeta/store.go:540 in startCandidates) | workloadmeta collector "cloudfoundry-vm" could not start. error: component workloadmeta-cloudfoundry-vm is disabled: Agent is not running on CloudFoundry
2025-01-25 15:02:59 UTC | CORE | INFO | (comp/core/workloadmeta/store.go:540 in startCandidates) | workloadmeta collector "ecs" could not start. error: component workloadmeta-ecs is disabled: Agent is not running on ECS EC2
2025-01-25 15:02:59 UTC | CORE | INFO | (comp/core/workloadmeta/store.go:540 in startCandidates) | workloadmeta collector "podman" could not start. error: component workloadmeta-podman is disabled: Podman not detected
2025-01-25 15:02:59 UTC | CORE | INFO | (pkg/collector/python/datadog_agent.go:133 in LogMessage) | - | (ddyaml.py:143) | monkey patching yaml.load...
2025-01-25 15:02:59 UTC | CORE | INFO | (pkg/collector/python/datadog_agent.go:133 in LogMessage) | - | (ddyaml.py:147) | monkey patching yaml.load_all...
2025-01-25 15:02:59 UTC | CORE | INFO | (pkg/collector/python/datadog_agent.go:133 in LogMessage) | - | (ddyaml.py:151) | monkey patching yaml.dump_all... (affects all yaml dump operations)
2025-01-25 15:02:59 UTC | CORE | INFO | (pkg/collector/embed_python.go:22 in InitPython) | Embedding Python 3.11.8 (main, May 28 2024, 17:23:32) [GCC 9.4.0]
2025-01-25 15:02:59 UTC | CORE | DEBUG | (pkg/collector/embed_python.go:23 in InitPython) | Python Home: /opt/datadog-agent/embedded
2025-01-25 15:02:59 UTC | CORE | DEBUG | (pkg/collector/embed_python.go:24 in InitPython) | Python path: ['/opt/datadog-agent/embedded/lib/python311.zip', '/opt/datadog-agent/embedded/lib/python3.11', '/opt/datadog-agent/embedded/lib/python3.11/lib-dynload', '/opt/datadog-agent/embedded/lib/python3.11/site-packages', '/opt/datadog-agent/bin/agent/dist', '/opt/datadog-agent/checks.d', '/opt/datadog-agent/bin/agent/dist/checks.d', '/etc/datadog-agent/checks.d']
2025-01-25 15:02:59 UTC | CORE | INFO | (comp/core/autodiscovery/providers/config_reader.go:171 in read) | Searching for configuration files at: /etc/datadog-agent/conf.d
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/activemq.d/metrics.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/apache.d/auto_conf.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/cassandra.d/metrics.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/cert_manager.d/auto_conf.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/cilium.d/auto_conf.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/confluent_platform.d/metrics.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/consul.d/auto_conf.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/container.d/conf.yaml.default
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/container_image.d/conf.yaml.default
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/container_lifecycle.d/conf.yaml.default
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/containerd.d/conf.yaml.default
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/coredns.d/auto_conf.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/couch.d/auto_conf.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/couchbase.d/auto_conf.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/cpu.d/conf.yaml.default
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/cri.d/conf.yaml.default
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/datadog_cluster_agent.d/auto_conf.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/disk.d/conf.yaml.default
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/docker.d/conf.yaml.default
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/ecs_fargate.d/conf.yaml.default
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/eks_fargate.d/conf.yaml.default
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/elastic.d/auto_conf.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/etcd.d/auto_conf.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/external_dns.d/auto_conf.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/file_handle.d/conf.yaml.default
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/harbor.d/auto_conf.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/hazelcast.d/metrics.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/hive.d/metrics.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/hivemq.d/metrics.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/hudi.d/metrics.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/ignite.d/metrics.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/io.d/conf.yaml.default
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/istio.d/auto_conf.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/jboss_wildfly.d/metrics.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/kafka.d/metrics.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/kube_apiserver_metrics.d/auto_conf.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/kube_controller_manager.d/auto_conf.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/kube_dns.d/auto_conf.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/kube_scheduler.d/auto_conf.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/kubelet.d/conf.yaml.default
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/kubernetes_state.d/auto_conf.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/kyototycoon.d/auto_conf.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/load.d/conf.yaml.default
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/mcache.d/auto_conf.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/memory.d/conf.yaml.default
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/ntp.d/conf.yaml.default
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/orchestrator_ecs.d/conf.yaml.default
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/orchestrator_pod.d/conf.yaml.default
2025-01-25 15:02:59 UTC | CORE | ERROR | (comp/core/autodiscovery/configresolver/configresolver.go:290 in resolveDataWithTemplateVars) | Unknown type: float64
2025-01-25 15:02:59 UTC | CORE | ERROR | (comp/core/autodiscovery/configresolver/configresolver.go:290 in resolveDataWithTemplateVars) | Unknown type: float64
2025-01-25 15:02:59 UTC | CORE | ERROR | (comp/core/autodiscovery/configresolver/configresolver.go:290 in resolveDataWithTemplateVars) | Unknown type: float64
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/postgres.d/conf.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/presto.d/auto_conf.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/presto.d/metrics.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/rabbitmq.d/auto_conf.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/redisdb.d/auto_conf.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/riak.d/auto_conf.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/sbom.d/conf.yaml.default
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/snmp.d/auto_conf.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/solr.d/metrics.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/sonarqube.d/metrics.yaml
2025-01-25 15:02:59 UTC | CORE | DEBUG | (comp/core/autodiscovery/providers/config_reader.go:295 in collectEntry) | Found valid configuration in file: /etc/datadog-agent/conf.d/telemetry.d/conf.yaml.default
